ПОРЯДКОВЫЙ НОМЕР ЗАГРУЗКИ; НОМЕР ТВС; КООРДИНАТА X; КООРДИНАТА Y; СТАТУС;  ВРЕМЯ ЗАГРУЗКИ; СМЕНА; ПОВЫСОТНАЯ ОТМЕТКА; ЗАМЕЧАНИЕ 
85;9;14;27;True;05.02.2016 8:56:05;Привет;0;;
86;26;12;21;True;05.02.2016 8:56:05;Привет;0;;
87;62;9;18;True;05.02.2016 8:56:05;Привет;0;;
88;89;7;18;True;05.02.2016 8:56:06;Привет;0;;
89;128;4;21;True;05.02.2016 8:56:06;Привет;0;;
90;151;2;27;True;05.02.2016 8:56:06;Привет;0;;
91;154;2;33;True;05.02.2016 8:56:06;Привет;0;;
92;146;3;36;True;05.02.2016 8:56:06;Привет;0;;
93;113;6;39;True;05.02.2016 8:56:06;Привет;0;;
94;59;10;39;True;05.02.2016 8:56:06;Привет;0;;
95;35;12;39;True;05.02.2016 8:56:07;Привет;0;;
96;3;15;30;True;05.02.2016 8:56:07;Привет;0;;
97;36;11;18;True;05.02.2016 8:56:07;Привет;0;;
98;115;5;18;True;05.02.2016 8:56:07;Привет;0;;
99;160;1;30;True;05.02.2016 8:56:07;Привет;0;;
100;137;4;39;True;05.02.2016 8:56:07;Привет;0;;
101;101;7;42;True;05.02.2016 8:56:08;Привет;0;;
102;74;9;42;True;05.02.2016 8:56:08;Привет;0;;
103;0;15;24;True;05.02.2016 8:56:08;Привет;0;;
104;6;14;21;True;05.02.2016 8:56:08;Привет;0;;
105;95;7;30;True;05.02.2016 8:56:08;Привет;0;;
106;68;9;30;True;05.02.2016 8:56:08;Привет;0;;
107;80;8;27;True;05.02.2016 8:56:08;Привет;0;;
108;148;2;21;True;05.02.2016 8:56:09;Привет;0;;
109;157;1;24;True;05.02.2016 8:56:44;вава;0;;
110;108;6;29;True;05.02.2016 8:56:44;вава;0;;
111;96;7;32;True;05.02.2016 8:56:45;вава;0;;
112;69;9;32;True;05.02.2016 8:56:45;вава;0;;
113;54;10;29;True;05.02.2016 8:56:45;вава;0;;
114;66;9;26;True;05.02.2016 8:56:45;вава;0;;
115;93;7;26;True;05.02.2016 8:56:45;вава;0;;
116;119;5;26;True;05.02.2016 8:57:41;вава;234;ууу;
117;122;5;32;True;05.02.2016 8:58:09;вава;0;;
118;84;8;35;True;05.02.2016 8:58:11;вава;0;;
119;43;11;32;True;05.02.2016 8:58:30;ап;0;;
120;40;11;26;True;05.02.2016 8:58:30;ап;0;;
121;78;8;23;True;05.02.2016 8:58:30;ап;0;;
122;105;6;23;True;05.02.2016 8:58:30;ап;0;;
123;132;4;29;True;05.02.2016 8:58:30;ап;0;;
124;111;6;35;True;05.02.2016 8:58:30;ап;0;;
125;57;10;35;True;05.02.2016 8:58:31;ап;0;;
126;30;12;29;True;05.02.2016 8:58:31;ап;0;;
127;51;10;23;True;05.02.2016 8:58:31;ап;0;;
128;90;7;20;True;05.02.2016 8:58:31;ап;0;;
129;129;4;23;True;05.02.2016 8:58:31;ап;0;;
130;141;3;26;True;05.02.2016 8:58:31;ап;0;;
131;144;3;32;True;05.02.2016 8:58:32;ап;0;;
132;135;4;35;True;05.02.2016 8:58:32;ап;0;;
133;99;7;38;True;05.02.2016 8:58:32;ап;0;;
134;72;9;38;True;05.02.2016 8:58:32;ап;0;;
135;33;12;35;True;05.02.2016 8:58:32;ап;0;;
136;21;13;32;True;05.02.2016 8:58:32;ап;0;;
137;18;13;26;True;05.02.2016 8:58:32;ап;0;;
138;27;12;23;True;05.02.2016 8:58:33;ап;0;;
139;63;9;20;True;05.02.2016 8:58:33;ап;0;;
140;75;8;17;True;05.02.2016 8:58:33;ап;0;;
141;116;5;20;True;05.02.2016 8:58:33;ап;0;;
142;149;2;23;True;05.02.2016 8:58:33;ап;0;;
143;152;2;29;True;05.02.2016 8:58:33;ап;0;;
144;155;2;35;True;05.02.2016 8:58:33;ап;0;;
145;125;5;38;True;05.02.2016 8:58:34;ап;0;;
146;87;8;41;True;05.02.2016 8:58:34;ап;0;;
147;46;11;38;True;05.02.2016 8:58:34;ап;0;;
148;13;14;35;True;05.02.2016 8:58:34;ап;0;;
149;10;14;29;True;05.02.2016 8:58:34;ап;0;;
150;7;14;23;True;05.02.2016 8:58:34;ап;0;;
151;37;11;20;True;05.02.2016 8:58:44;ап;0;;
152;102;6;17;True;05.02.2016 8:58:44;ап;0;;
153;138;3;20;True;05.02.2016 8:58:44;ап;0;;
154;147;3;38;True;05.02.2016 8:58:44;ап;0;;
154;158;1;26;True;05.02.2016 8:58:44;ап;0;;
155;161;1;32;True;05.02.2016 8:58:46;ап;0;;
157;114;6;41;True;05.02.2016 8:58:46;ап;0;;
158;60;10;41;True;05.02.2016 8:58:46;ап;0;;
159;24;13;38;True;05.02.2016 8:58:46;ап;0;;
160;4;15;32;True;05.02.2016 8:58:46;ап;0;;
161;1;15;26;True;05.02.2016 8:58:48;ап;0;;
162;15;13;20;True;05.02.2016 8:58:49;ап;0;;
163;48;10;17;True;05.02.2016 8:58:59;ап;0;;
