ПОРЯДКОВЫЙ НОМЕР ЗАГРУЗКИ; НОМЕР ТВС; КООРДИНАТА X; КООРДИНАТА Y; СТАТУС;  ВРЕМЯ ЗАГРУЗКИ; СМЕНА; ПОВЫСОТНАЯ ОТМЕТКА; ЗАМЕЧАНИЕ 
41;155;2;35;True;01.02.2016 13:58:19;пирпут;34345,4;;
42;149;2;23;True;01.02.2016 13:58:20;пирпут;34345,4;;
43;75;8;17;True;01.02.2016 13:58:20;пирпут;34345,4;;
44;10;14;29;True;01.02.2016 13:58:20;пирпут;34345,4;;
45;46;11;38;True;01.02.2016 13:58:20;пирпут;34345,4;;
46;125;5;38;True;01.02.2016 13:58:20;пирпут;34345,4;;
47;152;2;29;True;01.02.2016 13:58:20;пирпут;34345,4;;
48;116;5;20;True;01.02.2016 13:58:20;пирпут;34345,4;;
49;37;11;20;True;01.02.2016 13:58:21;пирпут;34345,4;;
50;60;10;41;True;01.02.2016 13:58:21;пирпут;34345,4;;
51;114;6;41;True;01.02.2016 13:58:21;пирпут;34345,4;;
52;147;3;38;True;01.02.2016 13:58:21;пирпут;34345,4;;
53;161;1;32;True;01.02.2016 13:58:21;пирпут;34345,4;;
54;158;1;26;True;01.02.2016 13:58:21;пирпут;34345,4;;
55;138;3;20;True;01.02.2016 13:58:21;пирпут;34345,4;;
56;102;6;17;True;01.02.2016 13:58:22;пирпут;34345,4;;
57;48;10;17;True;01.02.2016 13:58:22;пирпут;34345,4;;
58;15;13;20;True;01.02.2016 13:58:22;пирпут;34345,4;;
59;1;15;26;True;01.02.2016 13:58:22;пирпут;34345,4;;
60;4;15;32;True;01.02.2016 13:58:22;пирпут;34345,4;;
61;24;13;38;True;01.02.2016 13:58:22;пирпут;34345,4;;
62;53;10;27;True;01.02.2016 13:58:23;пирпут;34345,4;;
63;55;10;31;True;01.02.2016 13:58:23;пирпут;34345,4;;
64;83;8;33;True;01.02.2016 13:58:23;пирпут;34345,4;;
65;109;6;31;True;01.02.2016 13:58:23;пирпут;34345,4;;
66;107;6;27;True;01.02.2016 13:58:23;пирпут;34345,4;;
67;79;8;25;True;01.02.2016 13:58:23;пирпут;34345,4;;
68;67;9;28;True;01.02.2016 13:58:23;пирпут;34345,4;;
69;95;7;30;True;01.02.2016 13:58:24;пирпут;34345,4;;
70;68;9;30;True;01.02.2016 13:58:24;пирпут;34345,4;;
71;94;7;28;True;01.02.2016 13:58:24;пирпут;34345,4;;
72;82;8;31;True;01.02.2016 13:58:24;пирпут;34345,4;;
73;80;8;27;True;01.02.2016 13:58:24;пирпут;34345,4;;
74;38;11;22;True;01.02.2016 13:58:24;пирпут;34345,4;;
75;20;13;30;True;01.02.2016 13:58:24;пирпут;34345,4;;
76;58;10;37;True;01.02.2016 13:58:25;пирпут;34345,4;;
77;124;5;36;True;01.02.2016 13:58:25;пирпут;34345,4;;
78;142;3;28;True;01.02.2016 13:58:25;пирпут;34345,4;;
79;104;6;21;True;01.02.2016 13:58:25;пирпут;34345,4;;
80;89;7;18;True;01.02.2016 13:58:25;пирпут;34345,4;;
81;62;9;18;True;01.02.2016 13:58:25;пирпут;34345,4;;
82;16;13;22;True;01.02.2016 13:58:26;пирпут;34345,4;;
83;8;14;25;True;01.02.2016 13:58:26;пирпут;34345,4;;
84;12;14;33;True;01.02.2016 13:58:26;пирпут;34345,4;;
85;23;13;36;True;01.02.2016 13:58:26;пирпут;34345,4;;
86;73;9;40;True;01.02.2016 13:58:26;пирпут;34345,4;;
87;100;7;40;True;01.02.2016 13:58:26;пирпут;34345,4;;
88;146;3;36;True;01.02.2016 13:58:26;пирпут;34345,4;;
89;154;2;33;True;01.02.2016 13:58:27;пирпут;34345,4;;
90;150;2;25;True;01.02.2016 13:58:27;пирпут;34345,4;;
91;139;3;22;True;01.02.2016 13:58:27;пирпут;34345,4;;
92;118;5;24;True;01.02.2016 13:58:27;пирпут;34345,4;;
93;91;7;22;True;01.02.2016 13:58:27;пирпут;34345,4;;
94;64;9;22;True;01.02.2016 13:58:27;пирпут;34345,4;;
95;39;11;24;True;01.02.2016 13:58:27;пирпут;34345,4;;
96;29;12;27;True;01.02.2016 13:58:28;пирпут;34345,4;;
97;31;12;31;True;01.02.2016 13:58:28;пирпут;34345,4;;
98;44;11;34;True;01.02.2016 13:58:28;пирпут;34345,4;;
99;71;9;36;True;01.02.2016 13:58:28;пирпут;34345,4;;
100;98;7;36;True;01.02.2016 13:58:28;пирпут;34345,4;;
101;123;5;34;True;01.02.2016 13:58:28;пирпут;34345,4;;
102;133;4;31;True;01.02.2016 13:58:29;пирпут;34345,4;;
103;131;4;27;True;01.02.2016 13:58:29;пирпут;34345,4;;
104;106;6;25;True;01.02.2016 13:58:29;пирпут;34345,4;;
105;92;7;24;True;01.02.2016 13:58:29;пирпут;34345,4;;
106;65;9;24;True;01.02.2016 13:58:29;пирпут;34345,4;;
107;52;10;25;True;01.02.2016 13:58:29;пирпут;34345,4;;
108;41;11;28;True;01.02.2016 13:58:29;пирпут;34345,4;;
109;42;11;30;True;01.02.2016 13:58:30;пирпут;34345,4;;
110;56;10;33;True;01.02.2016 13:58:30;пирпут;34345,4;;
111;70;9;34;True;01.02.2016 13:58:30;пирпут;34345,4;;
112;97;7;34;True;01.02.2016 13:58:30;пирпут;34345,4;;
113;110;6;33;True;01.02.2016 13:58:30;пирпут;34345,4;;
114;121;5;30;True;01.02.2016 13:58:30;пирпут;34345,4;;
115;120;5;28;True;01.02.2016 13:58:30;пирпут;34345,4;;
116;128;4;21;True;01.02.2016 13:58:36;пирпут;34345,4;ываы;
117;103;6;19;False;01.01.0001 0:00:00;;0;;
118;49;10;19;False;01.01.0001 0:00:00;;0;;
119;26;12;21;False;01.01.0001 0:00:00;;0;;
120;9;14;27;False;01.01.0001 0:00:00;;0;;
121;11;14;31;False;01.01.0001 0:00:00;;0;;
122;34;12;37;False;01.01.0001 0:00:00;;0;;
123;59;10;39;False;01.01.0001 0:00:00;;0;;
124;113;6;39;False;01.01.0001 0:00:00;;0;;
125;136;4;37;False;01.01.0001 0:00:00;;0;;
126;153;2;31;False;01.01.0001 0:00:00;;0;;
127;151;2;27;False;01.01.0001 0:00:00;;0;;
128;76;8;19;False;01.01.0001 0:00:00;;0;;
129;17;13;24;False;01.01.0001 0:00:00;;0;;
130;22;13;34;False;01.01.0001 0:00:00;;0;;
131;86;8;39;False;01.01.0001 0:00:00;;0;;
132;145;3;34;False;01.01.0001 0:00:00;;0;;
133;140;3;24;False;01.01.0001 0:00:00;;0;;
134;117;5;22;False;01.01.0001 0:00:00;;0;;
135;50;10;21;False;01.01.0001 0:00:00;;0;;
136;19;13;28;False;01.01.0001 0:00:00;;0;;
137;45;11;36;False;01.01.0001 0:00:00;;0;;
138;112;6;37;False;01.01.0001 0:00:00;;0;;
139;143;3;30;False;01.01.0001 0:00:00;;0;;
140;157;1;24;False;01.01.0001 0:00:00;;0;;
141;148;2;21;False;01.01.0001 0:00:00;;0;;
142;127;4;19;False;01.01.0001 0:00:00;;0;;
143;115;5;18;False;01.01.0001 0:00:00;;0;;
144;88;7;16;False;01.01.0001 0:00:00;;0;;
145;61;9;16;False;01.01.0001 0:00:00;;0;;
146;36;11;18;False;01.01.0001 0:00:00;;0;;
147;25;12;19;False;01.01.0001 0:00:00;;0;;
148;6;14;21;False;01.01.0001 0:00:00;;0;;
149;0;15;24;False;01.01.0001 0:00:00;;0;;
150;2;15;28;False;01.01.0001 0:00:00;;0;;
151;3;15;30;False;01.01.0001 0:00:00;;0;;
152;5;15;34;False;01.01.0001 0:00:00;;0;;
153;14;14;37;False;01.01.0001 0:00:00;;0;;
154;35;12;39;False;01.01.0001 0:00:00;;0;;
155;47;11;40;False;01.01.0001 0:00:00;;0;;
156;74;9;42;False;01.01.0001 0:00:00;;0;;
157;101;7;42;False;01.01.0001 0:00:00;;0;;
158;126;5;40;False;01.01.0001 0:00:00;;0;;
159;137;4;39;False;01.01.0001 0:00:00;;0;;
160;156;2;37;False;01.01.0001 0:00:00;;0;;
161;162;1;34;False;01.01.0001 0:00:00;;0;;
162;160;1;30;False;01.01.0001 0:00:00;;0;;
163;159;1;28;False;01.01.0001 0:00:00;;0;;
